CODE,NAME,ABBR
100,"Agricultural Business & Production",AGBUSPR
101,"Agricultural Business & Management",AGBUSMT
102,"Agricultural Mechanization",AGMECH
103,"Agricultural Production Workers & Managers",AGPROD
104,"Agricultural & Food Products Processing",AGFDPR
105,"Agricultural Supplies & Related Services",AGSUP
106,"Horticulture Services Operations & Management",HORT
107,"International Agriculture",INTLAG
200,"Agricultural Sciences",AGSCI
202,"Animal Sciences",ANIMSCI
203,"Food Sciences & Technology",FDSCTC
204,"Plant Sciences",PLANTSC
205,"Soil Sciences",SOILSCI
300,"Conservation & Renewable Natural Resources",CONSV
302,"Natural Resources Management & Protective Services",NATRMT
303,"Fishing & Fisheries Sciences & Management",FISHSCI
304,"Forest Production & Processing",FORSTPR
305,"Forestry and Related Sciences",FORSTSC
306,"Wildlife & Wildlands Management",WILDMGT
400,"Architecture & Related Programs",ARCHPRG
402,Architecture,ARCH
403,"City/Urban/Community & Regional Planning",CITYPLN
404,"Architectural Environmental Design",AENVDGN
405,"Interior Architecture",INTARCH
406,"Landscape Architecture",LNDARCH
407,"Architectural Urban Design & Planning",URBARCH
500,"Area, Ethnic & Cultural Studies",ARECS
501,"Area Studies",AREASTU
502,"Ethnic, Minority, & Gender Studies",CULGENS
800,"Marketing Operations/Marketing & Distribution",MKOPDIS
801,"Apparel & Accessories Marketing Operations",APACMK
802,"Business & Personal Services Marketing Operations",BPSVSMK
803,Entrepreneurship,ENTREP
804,"Financial Services Marketing Operations",FNSVSMK
805,"Floristry Marketing Operations",FLORMK
806,"Food Products Retailing & Wholesaling Operations",FOODPRW
807,"General Retail & Wholesaling Operations & Skills",GENRW
808,"Home & Office Products Marketing Operations",HOPRMK
809,"Hospitality & Recreation Marketing Operations",HSPRCMK
810,"Insurance Marketing Operations",INSMKOP
811,"Tourism & Travel Services Marketing Operations",TOURMK
812,"Vehicle & Petroleum Products Marketing Operations",VPPRDMK
813,"Health Products & Services Marketing Operations",HLPRSVM
900,Communications,COMM
902,Advertising,ADVERT
904,"Journalism & Mass Communications",JRNMSCM
905,"Public Relations & Organizational Communications",PRORGCM
907,"Radio, Television and Digital Communications",RTVBRCT
1000,"Communications Technologies",COMTECH
1002,"Audiovisual Communications Technology",AVCOMTECH
1003,"Graphic Communications",GRAPHCOM
1100,"Computer & Information Sciences",CMPINSC
1102,"Computer Programming",CMPPRG
1103,"Data Processing Technology",DATPRTC
1104,"Information Sciences & Systems",INSCSYS
1105,"Computer Systems Analysis",CMPSYAN
1107,"Computer Science",CMPSCI
1108,"Computer Software and Media Applications",COMPSOFTMAPP
1202,"Gaming & Sports Officiating Services",GAMSPOF
1203,"Funeral Services & Mortuary Science",FLMRTSC
1204,"Cosmetic Services",COSMSVS
1205,"Culinary Arts & Related Services",CULARTS
1300,Education,EDUC
1302,"Bilingual/Bicultural Education",BILNGED
1303,"Curriculum & Instruction",CURINST
1304,"Education Administration & Supervision",EDADMSU
1305,"Educational/Instructional Media Design",EDINSMD
1306,"Educational Evaluation, Research & Statistics",EDEVLRS
1307,"International & Comparative Education",ITLCPED
1308,"Educational Psychology",EDPSYCH
1309,"Social & Philosophical Foundations of Education",SOCPHED
1310,"Special Education",SPECED
1311,"Student Counseling & Personnel Services",STCLSVS
1312,"General Teacher Education",GENED
1313,"Teacher Education, Specific Academic & Vocational Programs",EDSPCVO
1314,"Teaching English as a Second Language/Foreign Language",TESL
1315,"Teacher Assistant/Aide",TEASAID
1320,"Vocational-Technical Education",VOTECED
1332,"Physical Education/Health/Safety Education",PEHSFED
1400,Engineering,ENGR
1402,"Aerospace, Aeronautical, & Astronautical Engineering",AEAOENG
1403,"Agricultural Engineering",AGENGR
1404,"Architectural Engineering",ARCHENG
1405,"Bioengineering & Biomedical Engineering",BIOENGR
1406,"Ceramic Sciences & Engineering",CRSCENG
1407,"Chemical Engineering",CHMENGR
1408,"Civil Engineering",CIVLENGR
1409,"Computer Engineering",CMPENGR
1410,"Electrical, Electronics, & Communications Engineering",EECMENG
1411,"Engineering Mechanics",ENGRMEC
1412,"Engineering Physics",ENGRPHY
1413,"Engineering Science",ENGRSCI
1414,"Environmental/Environmental Health Engineering",ENVHLEN
1415,"Geological Engineering",GEOLENG
1416,"Geophysical Engineering",GEOPENG
1417,"Industrial/Manufacturing Engineering",INDMFEN
1418,"Materials Engineering",MTLSENG
1419,"Mechanical Engineering",MECHENG
1420,"Metallurgical Engineering",METENGR
1421,"Mining & Mineral Engineering",MINENGR
1422,"Naval Architecture & Marine Engineering",NVMAREN
1423,"Nuclear Engineering",NUCLENG
1424,"Ocean Engineering",OCEANEN
1425,"Petroleum Engineering",PETRLEN
1427,"Systems Engineering",SYSTENG
1428,"Textile Sciences & Engineering",TEXSCEN
1429,"Engineering Design",ENDESGN
1430,"Engineering/Industrial Management",ENINDMT
1431,"Materials Science",MATLSCI
1432,"Polymer/Plastics Engineering",POLYENG
1500,"Engineering-Related Technologies",ENGTECH
1501,"Architectural Engineering Technology",ARCHTEC
1502,"Civil Engineering/Civil Technology",CIVTECH
1503,"Electrical & Electronic Engineering-Related Technologies",ELECTEC
1504,"Electromechanical Instrumentation & Maintenance Technology",MECHTEC
1505,"Environmental Control Technologies",ENVRTEC
1506,"Industrial Production Technologies",INDLTEC
1507,"Quality Control Technologies",QUALTEC
1508,"Mechanical Engineering-Related Technologies",MECHTEC
