NAME,FICE,STATE,ZIPCODE
"Billimek Special Project",999997,TX,78240
"Brown Mackie College - Denver",936755,CO,80203
"KNIGHT SCHOOL OF CHRONOBIOLOGY",099999,KS,66503
"Marycrest International University",001876,IA,52804
"SCOTT & WHITE CLINIC",999777,TX,76508
"Bowen Law School",991101,AR,72202
"Art Institute of Houston - North",999016,TX,77064
"Art Institute of Austin",999009,TX,78728
"Art Institute of San Antonio",999032,TX,78249
"IDEA Center",990033,KS,66502
"Asian University for Women",900000,KS,66502
"Urshan College",666407,MO,63031
"Texas A & M Health Science Center - College of Medicine",000460,TX,77807
"Wesleyan Honors Academy",002556,NE,68504
"Concordia University",000275,KS,66502
"Kansas State University - Salina",004611,KS,67401-8196
"Grand View University",001867,IA,50316-1599
"St. Charles Community College",025306,MO,63376-2865
"Texas A & M University System Health Science Center",004948,TX,77807
"South University - Austin",770917,TX,78729
"IDEA Education",990034,KS,66502
"Cottey College",002458,MO,64772-2763
"Hastings College",002548,NE,68902-0269
"Barton County Community College",004608,KS,67530-9107
"Tarrant County College District",003626,TX,76102-6599
"Brown Mackie College - Tulsa",666783,OK,74146
"Brown Mackie College - Quad Cities",666792,IA,52722
"Art Institutes International - Kansas City",666765,KS,66214
"Brown Mackie College - Saint Louis",666793,MO,63026-2564
"Chadron State College",002539,NE,69337-2690
"University of Texas Health Science Center at Houston",004951,TX,77225-0036
"St. Louis College of Pharmacy",002504,MO,63110-1088
"Angelo State University",003541,TX,76909-0001
"Art Institute of Colorado",020789,CO,80203-2172
"Art Institute of Dallas",025396,TX,75231-5993
"Art Institute of Houston",021171,TX,77027
"Baker University",001903,KS,66006-0065
"Bellevue University",009743,NE,68005-3098
"Bethel College",001905,KS,67117-0531
"Briar Cliff University",001846,IA,51104-2324
"Brown Mackie College - Salina",006755,KS,67401-7307
"Central Christian College of Kansas",001908,KS,67460-5799
"Colorado Mountain College",004506,CO,81602-3961
"Creighton University",002542,NE,68178-0001
"Dallas Christian College",006941,TX,75234-7299
"Del Mar College",003563,TX,78404-3897
"Dordt College",001859,IA,51250-1697
"Drury University",002461,MO,65802-3791
"East Central College",008862,MO,63084-0529
"Eastern New Mexico University",002651,NM,88130-7400
"Emmaus Bible College",023289,IA,52001-3096
"Emporia State University",001927,KS,66801-5415
"Fort Hays State University",001915,KS,67601-4099
"Graceland University",001866,IA,50140-1699
"Hardin-Simmons University",003571,TX,79698-0001
"Hesston College",001920,KS,67062-2093
"Houston Baptist University",003576,TX,77074-3298
"Iliff School of Theology",001354,CO,80210-4798
"Iowa State University",001869,IA,50011-0002
"John Brown University",001100,AR,72761-2121
"Johnson County Community College",008244,KS,66210-1299
"Kansas State University",001928,KS,66506
"Kirkwood Community College",004076,IA,52406-2068
"Lamar Community College",001355,CO,81052-3999
"Langston University",003157,OK,73050
"Loras College",001873,IA,52004-0178
"Louisiana Tech University",002008,LA,71272-0001
"Manhattan Area Technical College",005500,KS,66503-2499
"McMurry University",003591,TX,79697-0002
"Midwestern State University",003592,TX,76308-2095
"Missouri Southern State University",002488,MO,64801-1595
"Missouri Western State University",002490,MO,64507-2294
"Nebraska Methodist College",006404,NE,68114-2852
"New Mexico Highlands University",002653,NM,87701-9000
"New Mexico State University",002657,NM,88003-8001
"Oklahoma Baptist University",003164,OK,74804-2590
"Oklahoma Christian University",003165,OK,73136-1100
"Oklahoma Panhandle State University",003174,OK,73939-0430
"Oklahoma State University",003170,OK,74078
"Ottawa University",001937,KS,66067-3399
"Ouachita Baptist University",001102,AR,71998-0001
"Pittsburg State University",001926,KS,66762-7500
"Pueblo Community College",021163,CO,81004-1499
"Rockhurst University",002499,MO,64110-2561
"Saint Louis University",002506,MO,63103-2097
"Sam Houston State University",003606,TX,77341-0001
"Southeast Missouri State University",002501,MO,63701-4799
"Texas State University - San Marcos",003615,TX,78666-4615
"Southwestern College",001940,KS,67156-2499
"St. Ambrose University",001889,IA,52803-2898
"Sterling College",001945,KS,67579-1533
"Texas A & M University - Kingsville",003639,TX,78363-8202
"Texas Tech University Health Sciences Center",010674,TX,79430-0001
"Texas Wesleyan University",003645,TX,76105-1536
"Texas Woman's University",003646,TX,76204-5587
"Truman State University",002495,MO,63501-4221
"United States Air Force Academy",001369,CO,80840-5025
"University of Arkansas - Fayetteville",001108,AR,72701-1201
"University of Arkansas - Little Rock",001101,AR,72204-1099
